ID,ti,al,ar
662964,Toss It Up,State Of Survival,Flipsyde
4783908,Marry You,北京遇上西雅图 电影原声带,Thomas Anders
4781531,"Pour It Up (feat. Young Jeezy, Rick Ross, Juicy J & T.I.) [Remix]",Pour It Up (Remix) - Single,Rihanna
1566597,Think Again,Sleepless Nights,kate havnevik
4802955,My Songs Know What You Did In The Dark (Light Em Up),Save Rock and Roll,Fall Out Boy
638571,What About Now,Where We Are,WestLife
4748174,Suit & Tie (feat. Jay-Z),The 20/20 Experience (Deluxe Version),Justin Timberlake
742595,Get the Party Started,Greatest Hits...So Far!!! (Deluxe Version),P!nk
738264,Stay The Night,Some Kind of Trouble (Deluxe Edition),James Blunt
1113866,Moves Like Jagger,Grammy Nominees 2012,Maroon 5
1523370,Summertime Sadness,Summertime Sadness (Remixes) - EP,Lana Del Rey
4802954,The Phoenix,Save Rock and Roll,Fall Out Boy
960484,Sun Is Up,I Am The Club Rocker,Inna
3594012,Sure Be Cool If You Did,Sure Be Cool If You Did  - Single,Blake Shelton
659289,Koko Soko（爱情大魔咒）,Party Around The World（全世界来派对）,Smile.DK
476783,Tell Me Who You Are,2009年六月热搜歌一,Ldy Lickem
400563,Magic Melody,All 4 One,Befour
4765804,Wait For You,Best For You,Elliott Yamin
1903780,Don't Stop The Party [Extended Mix],Don't Stop The Party,Pitbull
4792194,Microphone,Microphone - Single,98 Degrees
4784846,Boys 'Round Here (feat. Pistol Annies & Friends),Based on a True Story... (Deluxe Version),Blake Shelton
681063,My Heartbeat,My Heartbeat,Y Lam
4827984,Bad (Remix) [feat. Rihanna],Bad (Remix) [feat. Rihanna] - Single,Wale
1019479,what doesn't kill you,2Day Acoustic Sessions,Kelly Clarkson
467141,Go On And Go,The Vibe,Lexington Bridge
4740110,Take You (Acoustic Version),Believe Acoustic,Justin Bieber
4784493,We Up (feat. Kendrick Lamar),We Up - Single,50 Cent
4885615,Summertime of Our Lives,Surfers Paradise (Deluxe Version),Cody Simpson
184194,蹦吧啦,曾经的歌系列 9,Eddy Wata
486146,Seasons In The Sun,Westlife,WestLife
4960199,Acapella,Acapella - Single,Karmin
725103,Save Your Heart,No Superstar (The Album),Remady
4720064,I Could Be The One (Nicktim - Radio Edit),I Could Be The One [Avicii vs Nicky Romero],Avicii
642698,Private,JLS,JLS
4825413,Heart to the Party,Shadows,Lenka
1044015,We Are Young,Hold on to Sixteen,Glee Cast
4783035,When I fall in love,北京遇上西雅图 电影原声带,Céline Dion
1080616,Kyoto,BangArang,Skrillex
1053677,Down For Whatever,Down For Whatever,Kelly Rowland
3590454,Animal,Animal - EP,Conor Maynard
1099483,The Mass,Greatest Hits,Era
711334,Your Love Is My Drug,Animal（JP Deluxe Edition）,Ke$ha
4993387,That's My Kind of Night,Crash My Party (Deluxe Version),Luke Bryan
4884626,Like Nobody's Around,24/Seven (Deluxe Version),Big Time Rush
811110,Stupid,Cocool,Tone Damli
714287,Ba Yonga Wamba,Fly Away,Banaroo
4973890,Love More (feat. Nicki Minaj),Love More (feat. Nicki Minaj) - Single,Chris Brown
4707302,One Day Like This,Dream Chaser (Deluxe Version),Sarah Brightman
814558,How are you doing ?,2011年3月欧美新歌速递2,Aqua
985029,Long Live,Speak Now,Taylor Swift
1588292,You're Not Alone,Shayne Ward,Shayne Ward
926801,Love the Way You Lie (Part II) [Piano Version],Loud,Rihanna
4783532,Sweet Spot (feat. May J.),Sweet Spot (feat. May J.) - Single,Flo Rida
1908502,Finally Found You (feat.Sammy Adams),Finally Found You,Enrique Iglesias
495916,The Sound Of Silence,西蒙与加芬克尔精选,Simon & Garfunkel
654595,Baby,欧美2010年1月最新单曲,Justin Bieber
3592561,F**k You,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
2547799,Blow Me (One Last Kiss),The Truth About Love (Fan Edition),P!nk
726912,Speak Now,Speak Now (Deluxe Version),Taylor Swift
4788877,#thatPOWER (feat. Justin Bieber) [Matt Nevin Extended Mix],#thatPOWER - Single,will.i.am
4988847,Your Laws,冲上云霄2 电视原声带,冲上云霄2
606522,Close To You,Singles 1969-1981,The Carpenters
839043,Burn That Bridge,2011年5月欧美新歌速递1,Akon
65473,The Day You Went Away (LP Version),Shades Of Purple,M2M
391530,Numb-Linkin Park,CS音乐 (CS Movies Cool),游戏原声
4821013,Ball (feat. Lil Wayne),速度与激情6 电影原声带  Fast & Furious 6 (Original Motion Picture Soundtrack) ,T.I.
4712949,Only Love Can,52赫兹,THE VERSE
1459990,America’s Most Wanted,2012年06月欧美新歌速递,Akon
1324628,Chasing the Sun,The Wanted (Special Edition),The Wanted
311649,My happy Ending,Diamond Collection,Avril Lavigne
864692,Dream You to Life,2011年6月欧美新歌速递2,Jordyn Taylor
1032751,If I Let You Go,Greatest Hits,WestLife
169965,I Believe I Can Fly,TV Best,R. Kelly
303464,Everything I Do,Haven't You Heard,Brandy
1091712,Happy New Year (feat. Jaden Smith),Happy New Year (feat. Jaden Smith) - Single,Justin Bieber
4732771,Wagon Wheel,Wagon Wheel - Single,Darius Rucker
454296,Yesterday,Spirit (Deluxe Edition),Leona Lewis
751290,Trust,The Take Off,Solid Base
168705,i could be the one(Donna Lewis),劲舞团歌曲2,日韩游戏
461917,Run,12月英国单曲榜Top 40 singles,Leona Lewis
2015050,State of Grace,Red (Deluxe Version),Taylor Swift
3592613,Salvation,Salvation,Gabrielle Aplin
801089,On The Floor,On The Floor (Final),Jennifer Lopez
410704,Home,Back Home,WestLife
4728101,Perfect Day (Radio Edit) [DJ Antoine vs. Mad Mark]{feat. Shontelle},Sky Is the Limit,DJ Antoine
453745,Realize,Power Hits 3(冠军全击3),Colbie Caillat
320091,Every Moment Of My Life,Key To My Soul,Sarah Connor
639766,Say Hello,These Friends of Mine,Rosie Thomas
462981,Apologize,Grammy Nominees 2009,OneRepublic
391520,It's My Life-BON JOVI,CS音乐 (CS Movies Cool),游戏原声
616258,She Wolf,She Wolf,Shakira
1321759,I Do,I Do,Colbie Caillat
4883448,Marry You,我们结婚了世界版OST Part.5,K.will
426639,Pocketful Of Sunshine,环球音乐极品典藏集Lesson 13.5,Natasha Bedingfield
1339764,The Apl Song,Elephunk,Black Eyed Peas
951626,dragostea din tei,2011年9月新歌速递,劲舞团
1674038,Better In Time,Spirit,Leona Lewis
4792178,$$$EX (Vanessa Hudgens vs. YLA) [Explicit],$$$EX (Vanessa Hudgens vs. Y.LA) - Single,Vanessa Hudgens
316950,Cry Me A River,Senorita,Justin Timberlake
5024399,Survival (feat. Liz Rodrigues),Survival - Single,Eminem
2480306,When I Was Your Man,When I Was Your Man,Bruno Mars
405476,Shape Of My Heart(这个杀手不太冷),曾经的歌系列17,Sting
4766265,Lights,春假 电影原声带 Spring Breakers (Music From the Motion Picture),Ellie Goulding
5012438,Wait For A Minute (feat. Tyga) [试听版],Wait For a Minute (feat. Justin Bieber) - Single,Justin Bieber
2478713,The Power of Love,The Power of Love – Single,Gabrielle Aplin
1473248,Right Here (feat. Drake),Believe (Deluxe Edition),Justin Bieber
428753,天使消逝的地方,曾经的歌系列19,斯维特拉娜·斯维吉科娃
460845,Radio,Set Your Body Free,Danny
2466322,Since U Been Gone,Greatest Hits - Chapter One,Kelly Clarkson
412575,Upside down,Greatest hits 1999-2004,Abba Teens
1307904,Bubbly,Coco,Colbie Caillat
449091,Only Love,Strawberry Love 爱.草莓,Trademark
4828846,Summertime Sadness (Cedric Gervais Remix),"Future Trance, Vol. 64",Lana Del Rey
4819800,Neon Lights,Demi,Demi Lovato
179403,阿根廷别为我哭泣,奥斯卡电影获奖金曲1,Madonna
732389,The Story of Us (US Version),Speak Now (Deluxe Version),Taylor Swift
661826,negative things,2010年三月热搜歌,audius
889005,Lighters,"The Covers, Vol. 2.",Jason Chen
863474,Love You Like a Love Song,When the Sun Goes Down,Selena Gomez + the Scene
1430267,How Do I Live,世界上最动听的歌超级天籁系列合集 上,LeAnn Rimes
752640,California King Bed,Loud,Rihanna
705864,Say You Love Me,Absolute Acoustic,M.Y.M.P
330966,Angel,Angelis,Angelis
4816490,Girls Night Out,2,98 Degrees
752761,Closer,Gravity,WestLife
948003,You Make Me Feel,Night Shades,Cobra Starship
453919,Ding Dong Song,Everybody Dance Now 2,Gunther
948004,#1Night#(One Night),Night Shades,Cobra Starship
2462293,"A Thousand Years, Pt. 2 (feat. Steve Kazee)","暮光之城4：破晓（下） 电影原声带 The Twilight Saga: Breaking Dawn, Pt. 2",Christina Perri
4973346,Baby I,Baby I - Single,Ariana Grande
1131665,Carry On,Some Nights,fun.
1109342,Shape of My Heart,The Very Best of Backstreet Boys,Backstreet Boys
485756,Time To Say Goodbye,莎拉布莱曼,Sarah Brightman
776884,Broken Angel (feat. Helena),2010年12月欧美新歌速递4,Arash
731074,Need a Little Love,孟汉娜4 永不落幕,Miley Cyrus
451501,If Today Was Your Last Day,Dark Horse,Nickelback
1087234,I Wanna Go,The Collection Britney Spears,Britney Spears
1231336,宝贝，对不起,宝贝对不起,草蜢
856318,If I Were a Boy,I Am... Sasha Fierce (Deluxe Version),Beyoncé
732378,Innocent,Speak Now (Deluxe Version),Taylor Swift
317121,If I Ain't Got You,Diary of Alicia Keys,Alicia Keys
731892,Give Me Some Sunshine,三个傻瓜,三个傻瓜
566525,Rhythm Of Love,Let The Music Play,Yoomiii
1147842,Birthday Cake,Birthday Cake,Rihanna
939097,Free Loop,B-Sides,Daniel Powter
1239605,Automatic,Pink Friday: Roman Reloaded (Deluxe Edition),Nicki Minaj
323362,Fairy Tale,Heat,Toni Braxton
1201728,My Heart Will Go On,泰坦尼克号-百年纪念版,Céline Dion
2466312,Breakaway,Greatest Hits - Chapter One,Kelly Clarkson
1766159,Sunny,Original Album Classics,Boney M
3586777,Love You Like a Love Song,NRJ Music Awards 2013,Selena Gomez + the Scene
1397535,DJ Got Us Falling In Love Again,I Do It For The Ladies (mixtape),Usher
5032946,"Time, My Friend",Say The Words 我为你歌唱,曲婉婷
5012455,Circus (Twister Rave Remix),Circus (Twister Rave Remix) - Single,Britney Spears
4809545,Q.U.E.E.N. (feat. Erykah Badu),Q.U.E.E.N. (feat. Erykah Badu) - Single,Janelle Monáe
1202058,Girls On the Dance Floor,Free Wired,Far East Movement
106601,Because Of You,圣杯之歌 Voices From The FIFA World Cup,Kelly Clarkson
435756,You Belong To Me,Comme Si De Rien N'Etait,Carla Bruni
4962559,I'm Out (feat. Nicki Minaj),Ciara,Ciara
442619,Dirty Dancing,The Block,New Kids On The Block
391718,超越(中超联赛主题歌),各种赛会主题曲,零点乐队
742614,Fuckin' Perfect,Greatest Hits...So Far!!! (Deluxe Version),P!nk
799413,Right Here Waiting,Stories To Tell,Richard Marx
63403,18 And Life,Skid Row,Skid Row
4803811,Don't Wake Me Up,Don't Wake Me Up - Single,Prinnie Stevens
4772051,Strawberry Bubblegum,The 20/20 Experience (Deluxe Version),Justin Timberlake
751898,One Time (Acoustic Version),My Worlds Acoustic,Justin Bieber
1052379,"Sleazy Remix 2.0 - Get Sleazier (feat. Lil Wayne, Wiz Khalifa, T.I. & André 3000)","Sleazy Remix 2.0 - Get Sleazier (feat. Lil Wayne, Wiz Khalifa, T.I. & André 3000) - Single",Ke$ha
419305,Low,Step Up 2 the Streets,Flo Rida
751612,The Harold Song,Cannibal [EP],Ke$ha
535134,I Do It For You,Anthology,Bryan Adams
974349,Love You Like a Love Song,Love You Like a Love Song,Selena Gomez + the Scene
4997839,Part of Your World,Part of Your World - Single,Carly Rae Jepsen
721170,Iridescent,A Thousand Suns,Linkin Park
437749,A Little Bit Longer,A Little Bit Longer,Jonas Brothers
2464829,50 Ways to Say Goodbye,Now That's What I Call Music Vol. 44,Train
5006300,We Go Down,Get Wet,Krewella
633092,I Want To Know What Love Is,Memoirs Of An Imperfect Angel,Mariah Carey
690069,No More You,Stadium,Akon
689007,I Hate Myself For Loving You,Greatest Hits,Joan Jett & The Blackhearts
951631,it's amazing,2011年9月欧美新歌速递,Jem
470541,Sugar,R.O.O.T.S,Flo Rida
448389,My Heart Will Go On,The Essential Céline Dion(2CD),Céline Dion
706106,Just Dance,舞梦成真,Lady GaGa
1190714,All Rise,Fly By II,Blue
1030698,When We Stand Together,Here And Now,Nickelback
4808951,Let's Go (feat. Chris Brown),#willpower (Deluxe Edition),will.i.am
421797,4 minutes,欧美最新单曲推荐,Madonna
880528,Bang Bang Bang,When The Sun Goes Down(Deluxe Edition),Selena Gomez + the Scene
1739348,Esta Noche (DJ Antoine Vs. Mad Mark & Clubzound Mix),I Am Armando,Pitbull
762418,Listen,I Am...World Tour 》[Live],Beyoncé
467559,Boom Boom Pow (club version),欧美2009年2-3月最新单曲,Black Eyed Peas
4719665,Nuclear (Explicit),Love Songs,Destiny's Child
416168,La La La,For The World,BigBang
311657,Nobody's Home,Diamond Collection,Avril Lavigne
486147,I Need You,Westlife,WestLife
5022932,Compass,Compass - Single,Lady Antebellum
2468690,Yellow,Live 2012,Coldplay
4773955,Body Count,The 20/20 Experience (Deluxe Version),Justin Timberlake
1539964,Get It Started,Get It Started (feat. Shakira),Pitbull
662511,Bad Romance (Skrillex Radio Remix),The Remix (Japan Limited Edition),Lady GaGa
832047,Can't Stop Love,曾经的歌系列24,Darin
796495,Lonely Again,2011年1月欧美新歌速递4,Ne-Yo
4764225,Alive,Alive - Single,Krewella
1211534,Who Owns My Heart,Can’t Be Tamed,Miley Cyrus
1032757,Bop Bop Baby,Greatest Hits,WestLife
4806929,Moonlight Shadow,在线热搜(欧美)系列18,Dana Winner
320012,7 Years & 50 Days (Album Version),7 Years & 50 Days,Groove Coverage
891603,Paparazzi (Motoblanco Remix - Radio Version),Hitmixes,Lady GaGa
764973,Respirator,"Only One Flo, Pt. 1 (Deluxe Version)",Flo Rida
4773864,The One,Notorius,Aina Brown
4752710,It Starts and Ends With You,Bloodsports (Deluxe Version),Suede
320008,The End,7 Years & 50 Days,Groove Coverage
1233064,Night Nurse,Original Me/The Greatest Hits,Cascada
4752447,Blaow,在线热搜(欧美)系列12,Ally
1145155,E.T. [Urban Noize Remix],落雨纷飞的季节,Katy Perry
627115,Fallin For You,Breakthrough,Colbie Caillat
662536,Rude Boy,Promo Only Rhythm Radio February 2010,Rihanna
4802603,Starships,More From Pitch Perfect,Nicki Minaj
711335,TiK ToK,Animal（JP Deluxe Edition）,Ke$ha
460854,Turn Off the Sound,Set Your Body Free,Danny
2469995,When Can I See You Again?,无敌破坏王 电影原声带 Wreck-It Ralph,Owl City
986796,Just Can’t Get Enough,The Beginning,Black Eyed Peas
862021,Run The World,4 (Deluxe Edition),Beyoncé
472396,Fall,2009年四月热搜歌二,Loggins & Messina
4975844,All Night,All Night - Single,Icona Pop
725860,All for You,The Golden Ratio,Ace Of Base
1436236,All At Once,Whitney Houston (The Deluxe Anniversary Edition),Whitney Houston
4777803,Ready for Love,Stevie Hoang: The Collection,Stevie Hoang
4749538,Next To Me,BRIT Awards 2013,Emeli Sandé
4965711,Live for the Night,Live for the Night - Single,Krewella
732404,Miss You too much,Real Love,Sarah Connor
1523371,Summertime Sadness,Summertime Sadness (Remixes) - EP,Lana Del Rey
466554,Don't Go Away,2009年3月新歌速递,BY2
732376,Enchanted,Speak Now (Deluxe Version),Taylor Swift
642565,All the Right Moves,Waking Up,OneRepublic
395042,特别的爱给特别的你(DJ版),RNB舞曲12,舞曲
4816024,Situation,Situation - Single,Usher
465781,Loving You,From JUSTIN-Collection of His First 3 Years,侧田
4796445,Ashtrays and Heartbreaks (feat. Miley Cyrus),Ashtrays and Heartbreaks (feat. Miley Cyrus) - Single,Snoop Dogg
962120,Unbroken,Unbroken,Demi Lovato
776533,麦阿喜,最新汽车升级版1 - 车载低音炮,DJ小可
1157734,S&M (Remix) [feat. Britney Spears],S&M (Remix) [feat. Britney Spears] - Single,Rihanna
397674,Everytime We Touch,Everytime We Touch,Cascada
1224797,Around The World,Greatest Hits,Aqua
4827986,For the Rest of My Life,For the Rest of My Life - Single,Robin Thicke
328915,Let Me Show You (The Way),Save Your Kisses,Natasha Thomas
680024,Four Leaf Clover,Songs from the Tainted Cherry Tree,Diana Vickers
4820741,Lose Yourself To Dance (feat. Pharrell Williams and Nile Rodgers),Random Access Memories,Daft Punk
4757056,Stay (feat. Mikky Ekko),Stay (feat. Mikky Ekko) - Single,Rihanna
4820736,Give Life Back to Music (feat. Nile Rodgers),Random Access Memories,Daft Punk
774896,Best Of Me,Best Of Me,Daniel Powter
4968484,Birthday,Stars Dance,Selena Gomez
745432,stay,爱-动听之抒情篇3,Tonya mitchell
977689,Playmate To Jesus,Megalomania,Aqua
688564,Crossfire,Swings And Roundabouts,Amy Diamond
4772910,Beat It (feat. Chris Brown & Wiz Khalifa),Beat It (feat. Chris Brown & Wiz Khalifa) - Single,Sean Kingston
839081,I'm Into You,Love (Deluxe Edition),Jennifer Lopez
1942520,Glassheart,Glassheart (Deluxe Edition),Leona Lewis
1793735,Gold,The Midsummer Station,Owl City
320060,From Sarah with Love,Green Eyed Soul,Sarah Connor
3458628,哇咔哇咔(非洲时刻)—南非世界杯主题曲,Waka Waka(This Time For Africa) (Single),Shakira
998772,Kill You,The Definitive Collection,Eminem
893091,Lights,"Lights, Pt. 2 (The Remixes) - EP",Ellie Goulding
2468501,Have Some Fun (feat. The Wanted & Afrojack),Global Warming (Deluxe Edition),Pitbull
4885711,Island (Prod. by DJ Frank E) [Without Don Omar],Island - Single,Akon
698459,My First Kiss,Streets Of Gold,3OH!3
391498,Over My Head-Sum41,CS音乐 (CS Movies Cool),游戏原声
638387,No Matter What,诺丁山(Notting Hill Original Soundtrack),Boyzone
732384,Superman,Speak Now (Deluxe Version),Taylor Swift
703440,All Night Long,No Coming Back(Perfect Edition),Stevie Hoang
436281,Blue (Da Ba Dee)蓝色小精灵,舞曲大帝国 24(Maxi Kingdom 24),JF Ray London
4776316,Bow Down/I Been On,2013年3月欧美新歌速递,Beyoncé
4812285,I Knew You Were Trouble,"Bravo Hits, Vol. 81",Taylor Swift
1420054,TiK ToK,Tik Tok - EP,Ke$ha
468416,Love to be Loved by you,Awesome,Marc Terenzi
362761,"Relax, Take It Easy","Relax, Take It Easy",Mika
680500,Space Cowboy,Banaroo's World,Banaroo
455711,I Been Hoping,2008年十二月热搜歌二,网络歌手
985019,Speak Now,Speak Now,Taylor Swift
4819798,Made in the USA,Demi,Demi Lovato
1005895,Dark Side,Stronger,Kelly Clarkson
498415,She Will Be Loved,She Will Be Loved EP,Maroon 5
4808952,Gettin' Dumb (feat. apl.de.ap & 2NE1),#willpower (Deluxe Edition),will.i.am
442596,What You Got,Colby O,Colby O'Donis
1145140,Space Bound,你是选择爱我，还是离开我,Eminem
742516,never say u can't,2010年11月欧美新歌速递1,Bruno Mars
977698,How R U Doin?,Megalomania,Aqua
644458,How to Break a Heart,Where We Are,WestLife
986784,Light Up The Night,The Beginning,Black Eyed Peas
1588293,I Cry,Shayne Ward,Shayne Ward
935952,绅士,第一课,倪安东
389189,The Best Damn Thing,The Best Damn Thing: Deluxe Edition,Avril Lavigne
315376,Black Or White,Dangerous,Michael Jackson
759262,SEXY CHICK,One More Love,David Guetta
961870,Be Careful,Future History (Deluxe Version),Jason Derülo
4885107,Love Me Again,Love Me Again (Remixes) - EP,John Newman
1261289,The Freedom Song,Love is a Four Letter Word,Jason Mraz
2478235,Right Place Right Time,Right Place Right Time (Deluxe Edition),Olly Murs
1094675,Save Me (Prod. by Arnthor),2012年01月欧美新歌速递,Shayne Ward
1584150,Brand New Day,2012年07月欧美新歌速递,Massari
311541,Drowning 爱到底,Greatest Hits至尊无敌超精选,Backstreet Boys
1113870,You and I,Grammy Nominees 2012,Lady GaGa
442612,Click Click Click,The Block,New Kids On The Block
4809863,Tell Me Why,在线热搜(欧美)系列18,Lafee
331067,Crazy (Album Version),St. Elsewhere 何方神圣,Gnarls Barkley
4733874,Only You(feat. Lauriana Mae),Only You (feat. Lauriana Mae) - Single,Cee Lo Green
1225936,I Love You Forever,Sweet and Wild,Jewel
409288,Gimme More,Blackout,Britney Spears
425563,Hero,Hero,Charlotte Perrelli
4752504,Kisses Down Low,Kisses Down Low - Single,Kelly Rowland
1224796,Barbie Girl,Greatest Hits,Aqua
962617,Synd For Dig,For Altid,Medina
1490894,Drop Dead Beautiful,Femme Fatale (Deluxe Version),Britney Spears
4986168,Grown Woman (Studio Version) ,Grown Woman  - Single,Beyoncé
337923,Sorry Seems To Be The Hardest Word,伤痕摇滚 Love On The Rocks,Elton John
145922,god is a girl(album version)),covergirl,Groove Coverage
4919488,Home Again,The Diving Board (Deluxe Version),Elton John
181658,You Are Beautiful,2007年Grammy格莱美候选歌曲大放送,James Blunt
1224804,My Oh My,Greatest Hits,Aqua
5029843,White Christmas,Wrapped In Red (Deluxe Edition),Kelly Clarkson
1473230,As Long As You Love Me,Believe,Justin Bieber
1438360,Big big world,奥斯卡获奖影视金曲,群星
816196,In Your Eyes,In The Club,Danny
5068019,The Art of Letting Go,The Art of Letting Go - Single,Mariah Carey
460857,If Only You,Set Your Body Free,Danny
727119,yes or no,2010年10月欧美新歌速递2,Claude
972184,DJ Got Us Fallin' In Love,Q-Music Top 500 Van Deze Eeuw - 2011,Usher
429371,Cry (UK Bonus Track),Good Girl Gone Bad: Reloaded,Rihanna
870660,Set Fire to the Rain (Thomas Gold Dub),Set Fire to the Rain (Remixes) - EP,Adele
624429,记得,可啦思刻,方大同
1430688,Thinking Of You,世界上最动听的歌超级天籁系列合集 下,ATC
1319047,Shell,我的歌声里,曲婉婷
4747799,Turn Up The Love,2013 The Hottest,Far East Movement
454428,Because,Been Waiting,Jessica Mauboy
182531,God is a girl,2006你最喜爱的10大英文金曲,Groove Coverage
4751099,Come Back,Come Back - Single,The Lylas
458067,Grace,Great God Who Saves,Laura Story
2451169,爱到最后只剩下回忆 女生版,在线热搜（华语）系列46,网络歌手
4818795,Tell Me When You Ready (feat. Future),Tell Me When You Ready (feat. Future) - Single,Flo Rida
629050,Happy,Shadow (Repackage),Leona Lewis
977693,Viva Las Vegas,Megalomania,Aqua
751908,Never Say Never (feat. Jaden Smith) [Acoustic Version],My Worlds Acoustic,Justin Bieber
4717550,Nobody's Business (feat. Chris Brown),Unapologetic (Deluxe Version),Rihanna
454328,Run (Bonus Track),Spirit (Deluxe Edition),Leona Lewis
442390,When I Grow Up,Doll Domination,The Pussycat Dolls
462241,Vincent,Joanna ＆ 王若琳,王若琳
928228,Here We Go Again,Turn It Up(Deluxe Edition),Pixie Lott
3584213,Jingle Bell Rock,Jingle Bell Rock – Single,Hot Chelle Rae
4780810,Tonight (feat. Ne-Yo),"Me, You & the Music",Jessica Sanchez
941311,I Can Only Imagine,Nothing But The Beat (US Edition),David Guetta
629573,I know you want me,Rebelution,Pitbull
297468,Everytime,Still Not Getting Any,Simple Plan
4749790,"Scream & Shout (Hit-Boy Remix) [feat. Britney Spears, Hit Boy, Waka Flocka Flame, Lil Wayne & Diddy]","Scream & Shout (Hit-Boy Remix) [feat. Britney Spears, Hit Boy, Waka Flocka Flame, Lil Wayne & Diddy] - Single",will.i.am
809267,CHIKI CHIKI,苏荷酒吧,群星
2472420,Va Va Voom,Pink Friday: Roman Reloaded The Re-Up,Nicki Minaj
703048,Dynamite,Rokstarr US Edition,Taio Cruz
4945663,The Mass,2006顶级车载音乐,Eric Levi
1474777,In The End,Greatest Hits,Linkin Park
5022373,Can We Dance,Can We Dance - EP,The Vamps
98098,Toxic,In The Zone (Bonus Track Version),Britney Spears
5106677,Gentleman,NOW That's What I Call Club Hits,Psy
928104,Beauty Killer,Beauty Killer (Bonus Track Version),Jeffree Star
4984247,Turn the Night Up,Turn the Night Up - Single,Enrique Iglesias
1030701,Lullaby,Here And Now,Nickelback
4829541,Sitting Down Here,欧美流行摇滚合辑 2,Lene Marlin
443696,I'd Rather Be With You,Simple Times,Joshua Radin
644469,I'll See You Again,Where We Are,WestLife
666111,Today Was A Fairy Tale,情人节 电影原声带 Valentine's Day (Original Motion Picture Soundtrack) ,Taylor Swift
4827776,Faster with You,Shadows,Lenka
449501,Halo,I Am...Sasha Fierce,Beyoncé
449290,Call You Tonight,欧美10月最新单曲推荐,Whitney Houston
703051,Take Me Back,Rokstarr US Edition,Taio Cruz
4802964,Save Rock And Roll (feat. Elton John),Save Rock and Roll,Fall Out Boy
4965690,Part II (On The Run) [Solo Version],Part II (On The Run) [Solo Version] - Single,Beyoncé
4996075,It's My Party,It's My Party - Single,Jessie J
4784477,As Your Friend(feat. Chris Brown),As Your Friend - Single,Afrojack
1364647,Go Girl,Original Hits,Pitbull
636561,3,欧美2009年10月最新单曲,Britney Spears
1588296,Someone To Love,Shayne Ward,Shayne Ward
663261,World In Front Of Me,Stairwells,Kina Grannis
658171,Pick Me,欧美2010年2月最新单曲,Justin Bieber
4816359,Stars,Stars - Single,Kat DeLuna
1208198,Gone,5.0 Deluxe,Nelly
4815530,A Little Party Never Killed Nobody (All We Got) [feat. Q-Tip & GoonRock],了不起的盖茨比 电影原声带 (豪华版) The Great Gatsby (Music From Baz Luhrmann's Film) [Deluxe Edition],Fergie
1083823,Like I Love You (Video Edit),Turn This Club Around,R.I.O.
4992051,We Own the Night,We Own The Night - Single,The Wanted
4717548,What Now,Unapologetic (Deluxe Version),Rihanna
960483,Endless,I Am The Club Rocker,Inna
420520,给我你所有的爱,Crossroad,Sylver
461924,Right Now (Na Na Na),12月英国单曲榜Top 40 singles,Akon
4740113,Fall (Live),Believe Acoustic,Justin Bieber
2650487,Cry (The Voice Performance),Cry (The Voice Performance) – Single,Cassadee Pope
427513,Take A Bow,欧美最新单曲推荐,Rihanna
4975377,Try,In a World Like This,Backstreet Boys
718526,慢摇先锋,B52轰炸机,DJ宝贝
926551,4 Minutes (feat. Justin Timberlake & Timbaland),Hard Candy (Deluxe Version),Madonna
4999465,I Wanna Go,The Essential Britney Spears,Britney Spears
4823232,Time After Time,中国合伙人 电影原声带,Cyndi Lauper
414718,Moondance,Oceanborn,Nightwish
690022,No Love,Recovery (Deluxe Edition),Eminem
718523,阿玛尼水晶宫,B52轰炸机,DJ宝贝
1261068,Lollipop Luxury,曾经的歌系列 47,Jeffree Star
456576,Dilemma,6 Derrty Hits,Nelly
435498,Teardrops On My Guitar (Acoustic Version),Beautiful Eyes,Taylor Swift
1402536,New Divide (Live),Burn It Down - EP,Linkin Park
5015814,Beautiful Life,Beautiful Life - Single,Union J
185157,en dag tilbage,曾经的歌系列 10,Nik & Jay
690077,Rock,Stadium,Akon
861162,Without You,The Game,Alyssa Reid
181120,This Love,Best of MP3 人气超强西洋总冠军,Maroon 5
454894,A Wonderful Day,A Little Love,冯曦妤
998766,Superman,The Definitive Collection,Eminem
4744415,Clown,Clown - EP,Emeli Sandé
687316,Airplanes,Promo Only Mainstream Radio June 2010,B.o.B.
687266,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup Song] {feat. Freshlyground},2010年世界杯官方专辑 Listen Up! The Official 2010 FIFA World Cup Album,Shakira
444543,Miss Underwater,One Day (2Cd Limited Edition),Maximilian Hecker
864105,Fallin',Songs In A Minor (10th Anniversary Edition) [Deluxe Edition],Alicia Keys
1588298,A Better Man,Shayne Ward,Shayne Ward
2472074,Silver Lining (Crazy 'Bout You),Silver Linings Playbook,Jessie J
466712,Can You Feel the Love Tonight,Sound of Musicals,Maria Arredondo
1204488,Danza Kuduro,速度与激情 5,速度与激情
672834,Kissin U,Sparks Fly,Miranda Cosgrove
862024,Dance For You,4 (Deluxe Edition),Beyoncé
946302,Mr. Saxobeat,Saxobeats,Alexandra Stan
835068,Trip Around The World,Voodoo Reloaded,Alexz Johnson
1168678,闪电部队在前进,曾经的歌系列38,群星
4918247,Dangerous,Dangerous,Michael Jackson
441394,Cookie Jar,The Quilt,Gym Class Heroes
